Intersection,Agglomération,Catégorie de route,Aménagement - Infrastructure,Voie,V1,Régime de circulation,Nombre total de voies de circulation,PR,PR1,Voie spéciale,Profil en long,Tracé en plan,Latitude,Longitude,Numac,Code Insee,Geofla Match,Coordonnées
Hors intersection,5,Route Départementale,0,39,0,2,2,6,0,0,1,Partie rectiligne,5053000,293000,320216,59011,O,50.5265153703
Hors intersection,3,Voie Communale,0,0,0,2,0,0,0,0,1,En « S »,5056300,282900,320217,59320,O,50.5626769272
Intersection en X,8,Voie Communale,0,0,0,1,1,,,0,1,Partie rectiligne,,,320256,59350,O,50.6317183168
Intersection en X,7,Voie Communale,0,0,0,1,3,,,0,1,Partie rectiligne,,,320272,59512,O,50.6879774811
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320338,59650,O,50.7056367285
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,En courbe à droite,,,320339,59646,O,50.6750984751
Hors intersection,8,Voie Communale,0,0,0,2,2,,,Bande cyclable,1,Partie rectiligne,,,320430,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320461,59512,O,50.6879774811
Intersection en T,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320580,59646,O,50.6750984751
Intersection en X,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320729,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320731,59512,O,50.6879774811
Hors intersection,1,Autoroute,0,25,0,3,2,14,400,0,1,Partie rectiligne,,,320774,59143,O,50.6659536434
Intersection en T,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320794,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,320897,59512,O,50.6879774811
Intersection en T,5,Route Départementale,0,0,0,2,1,,,0,1,Partie rectiligne,,,320942,59317,O,50.6841292085
Hors intersection,8,Voie Communale,0,0,0,2,2,,,Bande cyclable,1,Partie rectiligne,,,320957,59350,O,50.6317183168
