Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
6,Temps couvert,Plein jour,1,0,1,0,1,2,1,0,JAURES (RUE JEAN),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,GUESDE (RUE JULES),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,1,0,0,RONSSE CHARLES RUE,10.8,2,5
3,Pluie légère,Plein jour,1,0,1,0,1,2,1,0,LEBAS (RUE JEAN BAPTISTE),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,0,2,1,0,JOUHAUX (RUE LEON),10.8,1,5
7,Normale,Nuit avec éclairage public allumé,1,0,1,0,0,2,1,0,HUGO (RUE VICTOR),10.8,1,5
6,Normale,Plein jour,1,0,1,0,0,1,296,0,ORIONS (RUE DES),10.8,1,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,MULHOUSE (BOULEVARD DE),10.8,2,5
6,Normale,Plein jour,0,0,1,0,0,1,298,0,LEGRAND PIERRE RUE,10.8,1,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,VALLEE (RUE DE LA),10.8,2,5
3,Normale,Plein jour,0,0,1,0,1,9,0,0,BAILLE (RUE DE LA),10.8,2,5
3,Pluie légère,Plein jour,1,0,1,0,1,2,1,0,VERDUN (AVENUE DE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,0,,0,ROUTE NATIONALE 656,10.8,2,3
1,Pluie légère,Nuit avec éclairage public allumé,0,0,1,0,1,9,0,0,COURBET (RUE DE L'AMIRAL),10.8,2,5
6,Normale,Plein jour,1,0,1,0,0,1,1,0,PARE AMBROISE RUE,10.8,1,5
6,Normale,Nuit sans éclairage public,1,0,1,0,1,0,,0,AUTOROUTE A25,10.8,2,3
6,Normale,Crépuscule ou aube,1,0,1,0,1,1,95,0,ROUBAIX (RUE DE),10.8,2,5
6,Neige - grêle,Nuit avec éclairage public allumé,1,0,1,0,1,9,,0,SANS PEUR RUE JEAN N°1A69-2A112,10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,STRASBOURG (BOULEVARD DE),10.8,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,9,,0,CARNOT SADI RUE,10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,,0,CALVAIRE (RUE DU),10.8,2,5
